127.0.0.1 - - [10/Dec/2015:09:30:17 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:30:24 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:30:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:30:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:30:31 +0530] "GET /SpringMVCBasic/hello.html HTTP/1.1" 500 3414
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:32:50 +0530] "GET /SpringMVCBasic/hello.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:32:57 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:32:59 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:33:00 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:33:01 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:33:02 +0530] "GET /SpringMVCBasic/ HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:33:07 +0530] "GET /SpringMVCBasic/hello.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:42:00 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:42:01 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:42:13 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:42:13 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:44:08 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:44:54 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:44:54 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:45:24 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:45:25 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:07 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:07 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:08 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:08 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:09 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:10 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:21 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:22 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:54 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:50:55 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:57:50 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:57:55 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:06 +0530] "GET /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:08 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:10 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:12 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:14 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:58:16 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:12 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:13 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:14 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:15 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:17 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:17 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:18 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:19 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:19 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:20 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:21 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:22 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:22 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:23 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:24 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:25 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:39 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [10/Dec/2015:09:59:39 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:10:02:50 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [10/Dec/2015:10:02:50 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:11:14:31 +0530] "POST /ReadExcel/Jquery.html HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [10/Dec/2015:11:14:31 +0530] "GET /ReadExcel/js/jquery-2.1.4.js HTTP/1.1" 304 -
