127.0.0.1 - - [04/Jan/2016:09:57:55 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Jan/2016:09:57:58 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [04/Jan/2016:09:57:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Jan/2016:09:57:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Jan/2016:09:58:02 +0530] "GET /j2ee_projects/state.jsp?count=Aus HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [04/Jan/2016:09:58:04 +0530] "GET /j2ee_projects/state.jsp?count=india HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:01:24 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:02:39 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:02:46 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:09:57 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:09:58 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:10:00 +0530] "GET /j2ee_projects/state.jsp?count=Aus HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:10:01 +0530] "GET /j2ee_projects/state.jsp?count=india HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:10:32 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:10:34 +0530] "GET /j2ee_projects/state.jsp?count=Aus HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:10:37 +0530] "GET /j2ee_projects/state.jsp?count=india HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:13:04 +0530] "GET /j2ee_projects/ExampleOnAjax.jsp HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:13:06 +0530] "GET /j2ee_projects/state.jsp?count=Aus HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:13:07 +0530] "GET /j2ee_projects/state.jsp?count=india HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:14:17 +0530] "GET /j2ee_projects/state.jsp?count=Aus HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [04/Jan/2016:10:14:19 +0530] "GET /j2ee_projects/state.jsp?count=india HTTP/1.1" 200 548
